"time","chain1/permissions.db","chain1/wallet/txs.db","chain1/wallet","chain1/blocks/index","chain1/blocks","chain1/database","chain1/entities.db","chain1/chunks/chunks.db","chain1/chunks/data/stream-8b716d263d7e47558fc5a4a9bab2a5bb","chain1/chunks/data/stream-a2188f9ed785b516c3541eb785603085","chain1/chunks/data/stream-35a1ee2c51d2160356fd7bbea6bc4089","chain1/chunks/data/source","chain1/chunks/data","chain1/chunks/collect.db","chain1/chunks","chain1/chainstate","chain1"
"550.3476026058197","36.0","116.0","9728.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","27436.0"
"555.2560963630676","36.0","116.0","9860.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","27568.0"
"560.0890917778015","36.0","120.0","9996.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","27700.0"
"565.3531007766724","36.0","120.0","9996.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","27700.0"
"570.1028323173522","36.0","120.0","10124.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","27828.0"
"575.3805072307588","36.0","120.0","10252.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","27956.0"
"580.0890913009644","36.0","120.0","10252.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","27956.0"
"585.4290845394136","36.0","120.0","10380.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","28084.0"
"590.1867556571959","36.0","120.0","10508.0","36.0","17448.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","28212.0"
"595.4823188781737","36.0","124.0","10508.0","40.0","17452.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","28216.0"
"600.3496596813203","36.0","124.0","10648.0","40.0","17452.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","28356.0"
"605.1604986190796","36.0","124.0","10776.0","40.0","17452.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","28484.0"
"610.3747296333312","36.0","124.0","10776.0","40.0","17452.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","28488.0"
"615.1765260696411","36.0","124.0","10904.0","40.0","17452.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","28616.0"
"620.0281908512114","40.0","128.0","10772.0","40.0","17452.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","28484.0"
"625.3168768882751","40.0","128.0","10772.0","40.0","17452.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","28484.0"
"630.1318745613097","40.0","128.0","10772.0","40.0","17452.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","28484.0"
"635.3948526382446","40.0","128.0","11040.0","40.0","17452.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","28752.0"
"640.16619181633","40.0","128.0","11040.0","40.0","17452.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","28752.0"
"645.0696575641633","40.0","128.0","11040.0","40.0","17452.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","28752.0"
"650.4621713161469","40.0","132.0","10908.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","45004.0"
"655.3051080703735","40.0","132.0","10908.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","4.0","20.0","24.0","80.0","32.0","45004.0"
