"time","chain1/permissions.db","chain1/wallet/txs.db","chain1/wallet","chain1/blocks/index","chain1/blocks","chain1/database","chain1/entities.db","chain1/chunks/chunks.db","chain1/chunks/data/stream-8b716d263d7e47558fc5a4a9bab2a5bb","chain1/chunks/data/stream-a2188f9ed785b516c3541eb785603085","chain1/chunks/data/source","chain1/chunks/data","chain1/chunks/collect.db","chain1/chunks","chain1/chainstate","chain1"
"695.2086100578308","40.0","144.0","10756.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","44852.0"
"700.0770707130432","40.0","144.0","10884.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","44980.0"
"705.3611516952515","40.0","144.0","11012.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","45108.0"
"710.0710418224335","40.0","144.0","11012.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","45108.0"
"715.3608679771422","40.0","144.0","11268.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","45364.0"
"720.1381349563599","40.0","152.0","10884.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","44976.0"
"725.3925235271454","40.0","152.0","10884.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","44976.0"
"730.0800392627716","40.0","152.0","11152.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","45248.0"
"735.3513758182526","40.0","152.0","11152.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","45248.0"
"740.19935131073","40.0","152.0","11408.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","45504.0"
"745.0220029354095","40.0","156.0","10636.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","44728.0"
"750.336226940155","40.0","156.0","10636.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","44728.0"
"755.1219806671143","40.0","156.0","10772.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","44868.0"
"760.3733241558075","40.0","156.0","10900.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","44996.0"
"765.1250376701355","40.0","156.0","10900.0","40.0","33836.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","44996.0"
"770.3935108184814","40.0","164.0","11296.0","48.0","33844.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","45400.0"
"775.3159728050232","40.0","164.0","11296.0","48.0","33844.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","45400.0"
"780.0547471046448","40.0","164.0","11296.0","48.0","33844.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","45400.0"
"785.2881217002869","40.0","164.0","11552.0","48.0","33844.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","45656.0"
"790.0525238513948","40.0","164.0","11552.0","48.0","33844.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","45656.0"
"795.2567031383514","40.0","164.0","11552.0","48.0","33844.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","45656.0"
"800.0514044761658","40.0","168.0","11044.0","48.0","33844.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","45148.0"
"805.3414862155914","40.0","168.0","11172.0","48.0","33844.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","45276.0"
"810.1073145866394","40.0","168.0","11172.0","48.0","33844.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","45276.0"
"815.375962972641","40.0","168.0","11300.0","48.0","33844.0","16.0","28.0","28.0","4.0","4.0","4.0","16.0","24.0","76.0","32.0","45404.0"
